title,link,content
/,/
整个中国就是一个山寨（翻译by 逆转录猴子 已被和谐）	https://www.douban.com/note/2605548/	1	整个中国就是一个山寨（翻译by 逆转录猴子 已被和谐）,https://www.douban.com/note/2605548/
从电脑里跑出来的模型	https://www.douban.com/note/731495852/	2	从电脑里跑出来的模型,https://www.douban.com/note/731495852/
如果巴菲特在中国，他的组合会是……	https://zhuanlan.zhihu.com/p/2018743992540471581	3	如果巴菲特在中国，他的组合会是……,https://zhuanlan.zhihu.com/p/2018743992540471581
what's this	https://www.douban.com/note/10019524/	4	what's this,https://www.douban.com/note/10019524/
“诗史”：对文学批评的批评	https://www.douban.com/note/270065751/	5	“诗史”：对文学批评的批评,https://www.douban.com/note/270065751/
2026/3/9-一周内参；写在战争进行时	https://zhuanlan.zhihu.com/p/2014175857032328602	6	2026/3/9-一周内参；写在战争进行时,https://zhuanlan.zhihu.com/p/2014175857032328602
见到阿北了，很开心～	https://www.douban.com/note/20140495/	7	见到阿北了，很开心～,https://www.douban.com/note/20140495/
谢尔盖·巴蒲金---孩子	https://www.douban.com/note/186406661/	8	谢尔盖·巴蒲金---孩子,https://www.douban.com/note/186406661/
点金术II-如何正确使用梯级建仓（网格交易）	https://zhuanlan.zhihu.com/p/2010861411224544423	9	点金术II-如何正确使用梯级建仓（网格交易）,https://zhuanlan.zhihu.com/p/2010861411224544423
一个关于《画皮》的豆瓣和校内电影对比截图	https://www.douban.com/note/20467424/	10	一个关于《画皮》的豆瓣和校内电影对比截图,https://www.douban.com/note/20467424/
牛皮圈地的传说	https://www.douban.com/note/250270327/	11	牛皮圈地的传说,https://www.douban.com/note/250270327/
点金术PLUS版-2026的稳妥选择	https://zhuanlan.zhihu.com/p/2003136071131763898	12	点金术PLUS版-2026的稳妥选择,https://zhuanlan.zhihu.com/p/2003136071131763898
web2.0,SNS and UGC——模糊的陷阱	https://www.douban.com/note/21182356/	13	web2.0,SNS and UGC——模糊的陷阱,https://www.douban.com/note/21182356/
古洞之殇	https://www.douban.com/note/506085776/	14	古洞之殇,https://www.douban.com/note/506085776/
如何通过ETF获得稳定的复利	https://zhuanlan.zhihu.com/p/2000732227324098306	15	如何通过ETF获得稳定的复利,https://zhuanlan.zhihu.com/p/2000732227324098306
精辟	https://www.douban.com/note/21790806/	16	精辟,https://www.douban.com/note/21790806/
他·的毕业	https://www.douban.com/note/153083803/	17	他·的毕业,https://www.douban.com/note/153083803/
业余新人如何打平职业选手	https://zhuanlan.zhihu.com/p/1992724823659549101	18	业余新人如何打平职业选手,https://zhuanlan.zhihu.com/p/1992724823659549101
老张	https://www.douban.com/note/22030773/	19	老张,https://www.douban.com/note/22030773/
保守年代	https://www.douban.com/note/225883657/	20	保守年代,https://www.douban.com/note/225883657/
入门即是焚决，大学老师教你一小时速成技术大牛（附图文实战讲解）	https://zhuanlan.zhihu.com/p/1988026574977663607	21	入门即是焚决，大学老师教你一小时速成技术大牛（附图文实战讲解）,https://zhuanlan.zhihu.com/p/1988026574977663607
十年前的北大（一个师姐写的，忍不住要转过来）	https://www.douban.com/note/22292935/	22	十年前的北大（一个师姐写的，忍不住要转过来）,https://www.douban.com/note/22292935/
我为什么不预测未来	https://www.douban.com/note/605234763/	23	我为什么不预测未来,https://www.douban.com/note/605234763/
人形机器人，现在能帮你做家务了么？	https://zhuanlan.zhihu.com/p/1984275883503149142	24	人形机器人，现在能帮你做家务了么？,https://zhuanlan.zhihu.com/p/1984275883503149142
由豆瓣为什么没有使用偏好设置说开去	https://www.douban.com/note/22981445/	25	由豆瓣为什么没有使用偏好设置说开去,https://www.douban.com/note/22981445/
（张一的日记）百花深处	https://www.douban.com/note/810138571/	26	（张一的日记）百花深处,https://www.douban.com/note/810138571/
要不要买商铺	https://zhuanlan.zhihu.com/p/1966352636954539508	27	要不要买商铺,https://zhuanlan.zhihu.com/p/1966352636954539508
27天决定科幻界命运起伏	https://www.douban.com/note/30773092/	28	27天决定科幻界命运起伏,https://www.douban.com/note/30773092/
三日谈	https://www.douban.com/note/429789308/	29	三日谈,https://www.douban.com/note/429789308/
别再纠结生育率了……	https://zhuanlan.zhihu.com/p/1948426685641893523	30	别再纠结生育率了……,https://zhuanlan.zhihu.com/p/1948426685641893523
这个以前看过一次。。。	https://www.douban.com/note/34612429/	31	这个以前看过一次。。。,https://www.douban.com/note/34612429/
荒野大表哥	https://www.douban.com/note/623764836/	32	荒野大表哥,https://www.douban.com/note/623764836/
黄金是否可空	https://zhuanlan.zhihu.com/p/1895862396972685297	33	黄金是否可空,https://zhuanlan.zhihu.com/p/1895862396972685297
关于豆瓣，两三句	https://www.douban.com/note/43714921/	34	关于豆瓣，两三句,https://www.douban.com/note/43714921/
看了二十多年世界杯的我和一些眼泪	https://www.douban.com/note/842365394/	35	看了二十多年世界杯的我和一些眼泪,https://www.douban.com/note/842365394/
2025.我个人的A股组合	https://zhuanlan.zhihu.com/p/20417948709	36	2025.我个人的A股组合,https://zhuanlan.zhihu.com/p/20417948709
快女在豆瓣小组的人气排名	https://www.douban.com/note/44006200/	37	快女在豆瓣小组的人气排名,https://www.douban.com/note/44006200/
张晖早年信札选	https://www.douban.com/note/269688965/	38	张晖早年信札选,https://www.douban.com/note/269688965/
加拿大人李嘉诚的港口卖掉了没有？	https://www.zhihu.com/question/1905680199225421898/answer/1941621910002709817	39	加拿大人李嘉诚的港口卖掉了没有？,https://www.zhihu.com/question/1905680199225421898/answer/1941621910002709817
亚洲时间	https://www.douban.com/note/47849165/	40	亚洲时间,https://www.douban.com/note/47849165/
